[Bandit, PEKKA, Mega knight, Goblin, Goblin machine, Mini PEKKA]
[Bandit, PEKKA, Mega knight, Royal ghost, Skeleton king, Mini PEKKA]
[Bandit, Executioner, Archer queen, Wizard, Goblin, Dart goblin]
[Bandit, Executioner, Archer queen, Wizard, Royal ghost, Skeleton dragon]
[Bandit, Executioner, Barbarian, Wizard, Golden knight, Prince]
[Bandit, Executioner, Valkyrie, Wizard, Goblin, Goblin machine]
[Bandit, Executioner, Valkyrie, Wizard, Royal ghost, Skeleton king]
[Bandit, Executioner, Spear goblin, Goblin machine, Royal ghost, Skeleton king]
[Bandit, Executioner, Spear goblin, Dart goblin, Royal ghost, Skeleton dragon]
[Bandit, Executioner, Musketeer, Princess, Royal ghost, Witch]
[Bandit, Mega knight, Archer queen, Barbarian, Goblin, Dart goblin]
[Bandit, Mega knight, Archer queen, Barbarian, Royal ghost, Skeleton dragon]
[Bandit, Mega knight, Barbarian, Valkyrie, Goblin, Goblin machine]
[Bandit, Mega knight, Barbarian, Valkyrie, Royal ghost, Skeleton king]
[Bandit, Mega knight, Barbarian, Wizard, Goblin, Spear goblin]
[Bandit, Mega knight, Barbarian, Wizard, Golden knight, Princess]
[Bandit, Mega knight, Goblin, Spear goblin, Prince, Princess]
[Bandit, Mega knight, Musketeer, Prince, Royal ghost, Witch]
[Bandit, Electro giant, Goblin, Dart goblin, Royal giant, Monk]
[Bandit, Electro giant, Royal ghost, Skeleton dragon, Royal giant, Monk]
[Bandit, Goblin, Spear goblin, Musketeer, Princess, Monk]
[Bandit, Goblin, Goblin machine, Witch, Skeleton king, Monk]
[Bandit, Goblin, Dart goblin, Witch, Skeleton dragon, Monk]
[PEKKA, Executioner, Mega knight, Valkyrie, Wizard, Mini PEKKA]
[PEKKA, Executioner, Mega knight, Spear goblin, Goblin machine, Mini PEKKA]
[PEKKA, Mega knight, Witch, Skeleton king, Mini PEKKA, Monk]
[PEKKA, Archer queen, Barbarian, Goblin machine, Dart goblin, Mini PEKKA]
[PEKKA, Archer queen, Barbarian, Skeleton king, Skeleton dragon, Mini PEKKA]
[PEKKA, Barbarian, Wizard, Spear goblin, Goblin machine, Mini PEKKA]
[PEKKA, Valkyrie, Wizard, Prince, Princess, Mini PEKKA]
